"session_id","phase_number","phase_name","confidence"
e3fbe4da-defe-11ef-9325-0242ac120003,5,Post Phase,4
e3fbe4da-defe-11ef-9325-0242ac120003,3,Pre phase ,4
e3fbe4da-defe-11ef-9325-0242ac120003,4,Intervention Phase,4
e440d46a-def3-11ef-b02c-0242ac120003,4,Intervention Phase,4
e440d46a-def3-11ef-b02c-0242ac120003,3,Pre phase ,4
e440d46a-def3-11ef-b02c-0242ac120003,5,Post Phase,4
e445ca54-df04-11ef-8bc0-0242ac120003,5,Post Phase,5
e445ca54-df04-11ef-8bc0-0242ac120003,5,Post Phase,5
e445ca54-df04-11ef-8bc0-0242ac120003,3,Pre phase ,5
e445ca54-df04-11ef-8bc0-0242ac120003,4,Intervention Phase,5
e491165e-dfad-11ef-af32-0242ac120003,4,Intervention Phase,4
e491165e-dfad-11ef-af32-0242ac120003,5,Post Phase,4
e491165e-dfad-11ef-af32-0242ac120003,3,Pre phase ,4
e66761ce-dd62-11ef-af32-0242ac120003,3,Pre phase ,4
e66761ce-dd62-11ef-af32-0242ac120003,4,Intervention Phase,4
e66761ce-dd62-11ef-af32-0242ac120003,5,Post Phase,3
e70151ba-dd50-11ef-b02c-0242ac120003,5,Post Phase,5
e70151ba-dd50-11ef-b02c-0242ac120003,3,Pre phase ,5
e70151ba-dd50-11ef-b02c-0242ac120003,3,Pre phase ,5
e70151ba-dd50-11ef-b02c-0242ac120003,4,Intervention Phase,4
e71053ec-df10-11ef-9325-0242ac120003,4,Intervention Phase,4
e71053ec-df10-11ef-9325-0242ac120003,5,Post Phase,3
e71053ec-df10-11ef-9325-0242ac120003,3,Pre phase ,3
e72f0fcc-e45f-11ef-b02c-0242ac120003,3,Pre phase ,4
e72f0fcc-e45f-11ef-b02c-0242ac120003,5,Post Phase,4
e72f0fcc-e45f-11ef-b02c-0242ac120003,4,Intervention Phase,4
e7ebd056-dfc5-11ef-9101-0242ac120003,4,Intervention Phase,5
e7ebd056-dfc5-11ef-9101-0242ac120003,5,Post Phase,5
e7ebd056-dfc5-11ef-9101-0242ac120003,3,Pre phase ,5
e8aaea5a-deed-11ef-8b3e-0242ac120003,5,Post Phase,4
e8aaea5a-deed-11ef-8b3e-0242ac120003,4,Intervention Phase,4
e8aaea5a-deed-11ef-8b3e-0242ac120003,3,Pre phase ,4
e8d93414-de2f-11ef-82d1-0242ac120003,4,Intervention Phase,4
e8d93414-de2f-11ef-82d1-0242ac120003,5,Post Phase,4
e8d93414-de2f-11ef-82d1-0242ac120003,3,Pre phase ,4
e94548a4-e33c-11ef-a609-0242ac120003,3,Pre phase ,4
e94548a4-e33c-11ef-a609-0242ac120003,4,Intervention Phase,5
e94548a4-e33c-11ef-a609-0242ac120003,5,Post Phase,4
e9a79c4a-dfc5-11ef-9325-0242ac120003,5,Post Phase,3
e9a79c4a-dfc5-11ef-9325-0242ac120003,3,Pre phase ,3
e9a79c4a-dfc5-11ef-9325-0242ac120003,4,Intervention Phase,3
e9d92774-def3-11ef-9db1-0242ac120003,3,Pre phase ,5
e9d92774-def3-11ef-9db1-0242ac120003,4,Intervention Phase,5
e9d92774-def3-11ef-9db1-0242ac120003,5,Post Phase,5
ea1e1022-dd78-11ef-a609-0242ac120003,5,Post Phase,4
ea1e1022-dd78-11ef-a609-0242ac120003,3,Pre phase ,4
ea1e1022-dd78-11ef-a609-0242ac120003,4,Intervention Phase,4
ea24a17e-dfcd-11ef-b02c-0242ac120003,3,Pre phase ,4
ea24a17e-dfcd-11ef-b02c-0242ac120003,5,Post Phase,5
ea24a17e-dfcd-11ef-b02c-0242ac120003,4,Intervention Phase,4
ebca4914-df16-11ef-af32-0242ac120003,3,Pre phase ,4
